Date,Open,High,Low,Close,Volume
2024-01-01,100,105,98,102,120000
2024-01-02,102,108,101,107,150000
2024-01-03,107,110,104,109,180000
2024-01-04,109,112,106,111,200000
2024-01-05,111,115,110,114,220000
2024-01-06,114,118,112,117,210000
2024-01-07,117,120,115,119,230000
2024-01-08,119,123,117,122,250000
2024-01-09,122,126,120,125,260000
2024-01-10,125,130,123,128,300000
2024-01-11,128,132,126,131,320000
2024-01-12,131,135,129,134,340000
2024-01-13,134,138,132,137,360000
2024-01-14,137,140,135,139,380000
2024-01-15,139,145,138,143,400000
